,hex_id,geometry,population,ID_NIL,NIL
1341,1341,POINT (517148.4314253358 5031761.125597178),1414.182861328125,35,LODI - CORVETTO
1342,1342,POINT (513889.149827166 5028315.086422713),291.58953857421875,41,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
1343,1343,POINT (511648.31968717516 5036064.090675921),1548.506103515625,58,DE ANGELI - MONTE ROSA
1344,1344,POINT (520407.42697465344 5035206.8842487335),327.4626159667969,24,PARCO FORLANINI - CAVRIANO
1345,1345,POINT (506743.8219138522 5035373.474967555),102.80683898925781,88,PARCO BOSCO IN CITTA'
1346,1346,POINT (518948.1555443433 5029325.121545003),281.49822998046875,34,CHIARAVALLE
1347,1347,POINT (515499.95853639307 5034516.125714338),1839.961181640625,1,DUOMO
1348,1348,POINT (517299.0611739879 5032081.055788839),1380.971923828125,35,LODI - CORVETTO
1349,1349,POINT (514039.81704797613 5028635.061540253),243.81809997558594,41,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
1350,1350,POINT (511798.94133403955 5036383.854414054),721.873291015625,58,DE ANGELI - MONTE ROSA
1351,1351,POINT (506894.4682640703 5035693.198858339),608.4408569335938,62,QUINTO ROMANO
1352,1352,POINT (515650.57547426637 5034835.970911999),1795.652099609375,1,DUOMO
1353,1353,POINT (514639.4916198851 5027822.944983773),0.0,85,PARCO DELLE ABBAZIE
1354,1354,POINT (511000.0066929828 5037465.4526974615),719.0938110351562,71,VILLAPIZZONE - CAGNOLA - BOLDINASCO
1355,1355,POINT (519758.11753260856 5036608.81212284),91.96804809570312,23,LAMBRATE - ORTICA
1356,1356,POINT (507742.0369353652 5034021.319542211),1205.2900390625,56,FORZE ARMATE
1357,1357,POINT (506096.0325946898 5036774.69805514),55.31257629394531,62,QUINTO ROMANO
1358,1358,POINT (516499.3820092115 5033163.4146761745),1686.59716796875,27,PTA ROMANA
1359,1359,POINT (514851.1727417653 5035917.914499029),1624.50537109375,2,BRERA
1360,1360,POINT (519000.06618226744 5030826.4868132295),696.0772094726562,32,TRIULZO SUPERIORE
1361,1361,POINT (515740.50813656655 5027380.030486038),11.664161682128906,85,PARCO DELLE ABBAZIE
1362,1362,POINT (514092.05085087614 5030136.257084685),311.7388916015625,42,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
1363,1363,POINT (511851.2995377271 5037883.877456917),1840.517333984375,71,VILLAPIZZONE - CAGNOLA - BOLDINASCO
1364,1364,POINT (508593.3310978567 5034439.721808533),855.6770629882812,56,FORZE ARMATE
1365,1365,POINT (506947.1501818266 5037193.052867824),0.922573983669281,88,PARCO BOSCO IN CITTA'
1366,1366,POINT (517351.0713519889 5033581.958643284),1314.866455078125,28,UMBRIA - MOLISE - CALVAIRATE
1367,1367,POINT (510488.9759848989 5030824.362681089),23.267866134643555,86,PARCO DEI NAVIGLI
1368,1368,POINT (515702.6854385422 5036336.411029735),1697.6448974609375,10,STAZIONE CENTRALE - PONTE SEVESO
